team_id,team_display_name,season,games_played,off_efficiency,def_efficiency,tempo,orb_rate,drb_rate,to_margin,ft_rate,three_rate,avg_point_diff,off_eff_std,three_pct_std,point_diff_std,off_eff_floor,def_eff_floor,point_diff_floor,adj_off_eff,adj_def_eff,sos,sos_avg,sos_std,num_games,sos_gap,sos_regression,off_floor_quality,diff_floor_quality,off_eff_std_pctile,three_pct_std_pctile,point_diff_std_pctile,off_penalty_mult,diff_penalty_mult,three_penalty_mult,off_eff_adj_var,three_pct_adj_var,point_diff_adj_var,consistency_score,efficiency_margin,margin_per_game,rebound_bonus,to_margin_bonus,ft_rate_bonus,consistency_bonus,supporting_bonus,power_rating_raw,power_rating,prior_weight,effective_returning,rank
153,North Carolina Tar Heels,2005,35,121.03072480676668,85.47240905342076,75.1669741132149,0.39252707306310985,0.6885289984364513,0.021428433037960274,0.4491008842680213,0.30253033776364757,16.685714285714287,12.118383434729662,0.13175641020995552,14.722474673240287,102.93339425345494,111.98768729804246,-0.1999999999999993,121.03072480676668,85.47240905342076,15.118923376339088,14.716564897480492,9.949382437690131,35,-4.027085646348105,-0.04027085646348105,1.0060113473078256,0.995,0.40483383685800606,0.797583081570997,0.7069486404833837,0.9939886526921744,1.005,0.9939886526921744,0.29885268204613424,0.5905740067109562,0.473655589123867,0.5553441275517449,35.55831575334592,35.55831575334592,0.0,0.0,0.0,0.0,0.0,36.177910586735436,36.177910586735436,0.0,,1
356,Illinois Fighting Illini,2005,37,118.517626592979,87.35233618993806,64.65534013465118,0.33561140902198133,0.7001727415964876,0.05940706248532678,0.3064209096045646,0.386596047588741,15.324324324324325,13.551598182893962,0.09929662884708355,9.34241835826146,100.54803017014926,109.38844010910648,5.6,118.517626592979,87.35233618993806,11.381082804787157,10.029930232861538,13.318851370516553,37,-0.2892450747961739,-0.002892450747961739,0.9826981810349134,1.14,0.6706948640483383,0.2054380664652568,0.03625377643504532,1.0173018189650866,0.8600000000000001,1.0173018189650866,0.5067266299469455,0.15568533607176346,0.020785498489425985,0.7376231057737481,31.16529040304094,31.16529040304094,0.0,0.0,0.0,0.0,0.0,31.78488523643045,31.78488523643045,0.0,,2
150,Duke Blue Devils,2005,29,114.97441569548145,86.1860217705315,68.1294699696287,0.3629276906258973,0.6294570402083497,0.01646070419391916,0.4536698074796386,0.40229494870783566,12.03448275862069,16.415989393459768,0.09459331982652804,12.915889324562013,89.53425217103945,117.89697502666132,-2.1999999999999997,114.97441569548145,86.1860217705315,13.587783016318644,13.493539404175742,11.883467953523287,29,-2.495945286327661,-0.02495945286327661,0.8750558971658778,0.9450000000000001,0.972809667673716,0.1510574018126888,0.4380664652567976,1.1249441028341223,1.055,1.1249441028341223,0.8127514405530177,0.12658723752690057,0.3081067472306143,0.5535672038367241,28.788393924949958,28.788393924949958,0.0,0.0,0.0,0.0,0.0,29.407988758339467,29.407988758339467,0.0,,3
222,Villanova Wildcats,2005,31,115.1524949657915,86.52174132683834,64.81787155546782,0.4095584671959006,0.6452230080323367,0.056207268515524635,0.3648570880597492,0.3403567666458314,10.774193548387096,13.597532330668045,0.12492354253263845,12.637799590697094,98.14650756898034,113.8028659675334,-2.0,115.1524949657915,86.52174132683834,12.36796331621881,11.92768052048084,10.064618359584832,31,-1.2761255862278276,-0.012761255862278276,0.9592270907719878,0.95,0.6797583081570997,0.6858006042296072,0.3957703927492447,1.0407729092280122,1.05,1.0407729092280122,0.5254234239375194,0.5317050818934087,0.2770392749244713,0.5344740330311815,28.630753638953166,28.630753638953166,0.0,0.0,0.0,0.0,0.0,29.250348472342676,29.250348472342676,0.0,,4
127,Michigan State Spartans,2005,28,118.56729023875106,90.90674944717928,66.51664203625417,0.37098222245473333,0.7259680757334087,0.013667410810153333,0.3888482278621071,0.32255013287220663,9.321428571428571,11.898954540678123,0.09415005345481783,12.50793399000861,98.04172799806224,116.871236202847,-8.799999999999999,118.56729023875106,90.90674944717928,13.254505745474932,13.013890388425093,11.431154638198159,28,-2.1626680154839484,-0.021626680154839484,0.9582030359637873,0.78,0.35347432024169184,0.13595166163141995,0.36253776435045315,1.0417969640362128,1.22,1.0417969640362128,0.2734890118486773,0.10550780209266253,0.29486404833836855,0.7799606524435051,27.660540791571776,27.660540791571776,0.0,0.0,0.0,0.0,0.0,28.280135624961286,28.280135624961286,0.0,,5
57,Florida Gators,2005,29,114.86921238675298,88.20492110458302,66.7952898602105,0.3521508079904841,0.7071928932906013,0.014275574136447403,0.4207718658442436,0.3562244005444187,11.96551724137931,15.175437569607192,0.0889528527588435,17.403781934274043,90.89742075380076,117.14086901932083,-7.799999999999999,114.86921238675298,88.20492110458302,11.474777818090987,10.426050021801604,12.253081708090624,29,-0.38294008810000335,-0.0038294008810000335,0.88837871696112,0.805,0.9123867069486404,0.07854984894259819,0.9274924471299094,1.1116212830388799,1.1949999999999998,1.1116212830388799,0.7532423488316979,0.06504578748541605,0.7389023162134944,0.49121145579405157,26.664291282169955,26.664291282169955,0.0,0.0,0.0,0.0,0.0,27.283886115559465,27.283886115559465,0.0,,6
96,Kentucky Wildcats,2005,32,111.10726258861575,84.62493545363651,67.23889583995434,0.3523137493782302,0.6674232883191116,0.06325684513870623,0.37904497994305825,0.3237739947235168,11.4375,13.275552679500253,0.135214893693096,14.551216554838515,86.80374188641804,107.92862722922477,-6.0,111.10726258861575,84.62493545363651,13.112563585603576,10.956093558254414,13.82799695861989,32,-2.020725855612593,-0.02020725855612593,0.8483694719275722,0.85,0.622356495468278,0.8429003021148036,0.6858006042296072,1.151630528072428,1.15,1.151630528072428,0.5322936951096828,0.7231132957881856,0.5257804632426988,0.4025477526195872,26.482327134979244,26.482327134979244,0.0,0.0,0.0,0.0,0.0,27.101921968368753,27.101921968368753,0.0,,7
154,Wake Forest Demon Deacons,2005,29,122.0367553208735,95.66383917724052,71.72416980037629,0.39065574502368194,0.6916387512812094,-0.0071834668677815796,0.45487854605792133,0.32776434144524613,9.96551724137931,11.261339676073844,0.10825897566164631,13.89111421690831,102.63163126305376,131.9961932388861,-8.399999999999999,122.0367553208735,95.66383917724052,14.10407281003132,13.176911383768454,12.029647884805897,29,-3.0122350800403375,-0.030122350800403375,1.0030620907060894,0.79,0.23867069486404835,0.3474320241691843,0.5921450151057401,0.9969379092939106,1.21,0.9969379092939106,0.17671203768611016,0.2580209237885376,0.47766364551863033,0.7195919502199102,26.372916143632978,26.372916143632978,0.0,0.0,0.0,0.0,0.0,26.992510977022487,26.992510977022487,0.0,,8
97,Louisville Cardinals,2005,34,116.35855507585524,90.60861790462644,68.78846551492549,0.3665868802113882,0.6830247460488486,0.03535902465466012,0.44864395951507335,0.41827292036281,16.823529411764707,13.099485722160054,0.09600055086158087,18.802757032261525,101.30087585366005,114.17867403774963,-1.799999999999999,116.35855507585524,90.60861790462644,8.590286259671442,7.644918219808756,12.094558300624877,34,2.5015514703195407,0.10006205881278163,0.9900560584844675,0.9550000000000001,0.5800604229607251,0.1661631419939577,0.9758308157099698,1.0099439415155325,1.045,1.0099439415155325,0.4350803105139446,0.12501120244155417,0.6798288016112789,0.6122567545370585,25.749937171228794,25.749937171228794,0.0,0.0,0.0,0.0,0.0,26.369532004618303,26.369532004618303,0.0,,9
197,Oklahoma State Cowboys,2005,29,120.38728621784732,94.78904631083887,65.80687261466856,0.366375002977499,0.6858551322949121,0.016426553630346466,0.38392317882547516,0.31127606460954843,11.482758620689655,11.292049575435616,0.10983557450543394,14.620486335606458,100.80811204676662,124.94560784350102,-3.799999999999999,120.38728621784732,94.78904631083887,12.813379067095854,12.185590822300217,8.62936239604112,29,-1.7215413371048705,-0.017215413371048705,0.9852400705840126,0.905,0.24773413897280966,0.3867069486404834,0.6888217522658611,1.0147599294159875,1.095,1.0147599294159875,0.1867016236473878,0.29232250659298914,0.5028398791540786,0.6972965034449791,25.59823990700845,25.59823990700845,0.0,0.0,0.0,0.0,0.0,26.217834740397958,26.217834740397958,0.0,,10
