team_id,team_display_name,season,games_played,off_efficiency,def_efficiency,tempo,orb_rate,drb_rate,to_margin,ft_rate,three_rate,avg_point_diff,off_eff_std,three_pct_std,point_diff_std,off_eff_floor,def_eff_floor,point_diff_floor,adj_off_eff,adj_def_eff,sos,sos_std,sos_gap,sos_regression,off_floor_quality,diff_floor_quality,off_eff_std_pctile,three_pct_std_pctile,point_diff_std_pctile,off_penalty_mult,diff_penalty_mult,three_penalty_mult,off_eff_adj_var,three_pct_adj_var,point_diff_adj_var,consistency_score,efficiency_margin,margin_per_game,rebound_bonus,to_margin_bonus,ft_rate_bonus,consistency_bonus,supporting_bonus,power_rating_raw,preseason_rating,effective_returning,prior_weight,power_rating,rank
2305,Kansas Jayhawks,2016,38,117.96699414701853,85.54027490536426,69.29842109721058,0.3243739258395724,0.7239767304412488,0.004461761926120546,0.3916102930641866,0.3354455313206565,13.657894736842104,13.590258506294793,0.11147679758456372,15.078669945985672,100.90295891842818,109.7883928678254,-5.3,117.96699414701853,85.54027490536426,10.515477365292142,10.1401377526425,-1.9121930139371335,-0.22499999999999998,0.9522354757835498,0.8674999999999999,0.6695156695156695,0.6153846153846154,0.5897435897435898,1.0477645242164502,1.1325,1.0477645242164502,0.5647420756721234,0.48854625259275125,0.4452564102564103,0.49179787875958514,32.42671924165427,32.42671924165427,0.0,0.0,0.0,0.0,0.0,32.06522741057,20.02291692271725,88.91502906172157,0.0,32.06522741057,1
222,Villanova Wildcats,2016,39,118.18926554662971,86.0956343821587,65.98751333556292,0.2745983922507679,0.7073482329948712,0.04369829063281424,0.350404492041887,0.42007010666266664,13.846153846153847,14.355072942087677,0.13957872748987116,13.389977519611769,97.41236252653584,115.63720622044606,-2.799999999999999,118.18926554662971,86.0956343821587,8.199787599798684,10.75892626017969,-1.4740930803124492,-0.22111396204686737,0.9192942245890331,0.93,0.811965811965812,0.9401709401709402,0.301994301994302,1.080705775410967,1.0699999999999998,1.080705775410967,0.7064329147326394,0.7698562815596052,0.21542260208926875,0.39412148503876526,32.093631164471006,32.093631164471006,0.0,0.0,0.0,0.0,0.0,31.73213933338674,21.21596812481224,65.07586206896552,0.0,31.73213933338674,2
127,Michigan State Spartans,2016,34,119.46113497732262,89.39226988765351,66.30339679343204,0.3560657923761651,0.7560650454013013,-0.036874528663093896,0.2984214927995731,0.35371382670637264,14.764705882352942,10.6759510288611,0.11871246417225093,15.10179363926665,106.5759800881782,113.3054805478563,-1.0,119.46113497732262,89.39226988765351,6.613257178016927,12.072180021314145,-1.1739410984566165,-0.1760911647684925,1.005772577872639,0.975,0.1168091168091168,0.717948717948718,0.5954415954415955,0.994227422127361,1.025,0.994227422127361,0.09349495733784952,0.5408471226998897,0.40688509021842356,0.671584251565293,30.068865089669103,30.068865089669103,0.0,0.0,0.0,0.0,0.0,29.707373258584838,21.231007600307667,99.71343134811862,0.0,29.707373258584838,3
258,Virginia Cavaliers,2016,36,115.7647537607516,85.7792120554421,60.56431088463531,0.29622563586444645,0.7499511362065888,0.03647493039135497,0.338414848717447,0.27894409349641125,10.25,11.257111402168887,0.13063201434225824,11.210645451024284,101.19105326635307,115.24376153043156,-4.0,115.7647537607516,85.7792120554421,10.505026245978312,10.878808623942817,-1.9102157911044728,-0.22499999999999998,0.9549542628380363,0.9,0.20797720797720798,0.8632478632478633,0.042735042735042736,1.0450457371619637,1.1,1.0450457371619637,0.17497530203680398,0.6835435223001148,0.03133903133903134,0.6829348885454803,29.9855417053095,29.9855417053095,0.0,0.0,0.0,0.0,0.0,29.624049874225236,26.47593225936098,83.99124087591241,0.0,29.624049874225236,4
153,North Carolina Tar Heels,2016,40,120.85943338038624,90.88886076395872,68.60437927621614,0.39795202758142434,0.7053888589779863,0.029079945253114865,0.32477148259200667,0.2677990826462152,12.75,11.286414273637543,0.14423635299953094,10.897541477618255,106.65347845526489,121.05100517407865,-3.0999999999999996,120.85943338038624,90.88886076395872,9.954405636871309,9.345271358180849,-1.8060451651869904,-0.22499999999999998,1.0065039409094245,0.9225,0.2222222222222222,0.9629629629629629,0.02849002849002849,0.9934960590905755,1.0775000000000001,0.9934960590905755,0.17773761371557278,0.7248883072214977,0.0204653371320038,0.6700777127032458,29.970572616427518,29.970572616427518,0.0,0.0,0.0,0.0,0.0,29.609080785343252,22.38239117794117,83.07189542483661,0.0,29.609080785343252,5
97,Louisville Cardinals,2016,31,108.95191836633677,81.58787102019923,65.54073361446875,0.38057619581505703,0.7118592137869114,0.04751094054844749,0.3236831894735581,0.2914572158736862,13.838709677419354,14.31300994436219,0.12004949369737634,18.394014921877076,93.56502423263328,112.01542001174859,-7.0,108.95191836633677,81.58787102019923,7.533744507768329,12.050465937505715,-1.348085944659933,-0.20221289169898993,0.8829863496757089,0.825,0.7977207977207977,0.7378917378917379,0.9458689458689459,1.1170136503242911,1.175,1.1170136503242911,0.7173566116152513,0.6245201996911018,0.7409306742640077,0.30924261689601185,27.36404734613754,27.36404734613754,0.0,0.0,0.0,0.0,0.0,27.002555515053274,10.726512712738598,49.611724137931034,0.0,27.002555515053274,6
96,Kentucky Wildcats,2016,35,118.65424143512122,92.39355192545314,67.40411279347202,0.3757223868936085,0.6827304636125634,0.019797165702911266,0.37681763125290924,0.31379898371884013,11.285714285714286,11.284068067759149,0.12624608274848723,13.942257873882864,99.57789314679641,121.66414358499539,-7.0,118.65424143512122,92.39355192545314,7.629905174803365,8.393344670785309,-1.3662783564730832,-0.20494175347096247,0.939730642932074,0.825,0.21937321937321938,0.8148148148148148,0.3646723646723647,1.060269357067926,1.175,1.060269357067926,0.18725159636173766,0.6545916913636401,0.28566001899335236,0.6245772647296929,26.260689509668083,26.260689509668083,0.0,0.0,0.0,0.0,0.0,25.899197678583818,9.333369936601528,22.076190476190476,0.0,25.899197678583818,7
277,West Virginia Mountaineers,2016,34,110.02812378197015,84.11938474812595,70.21231590485394,0.4130838313448221,0.7345073972715666,0.053647670595215996,0.47253726873283836,0.3041561836349762,10.970588235294118,13.829282979939883,0.1072402949576337,17.717454660404627,92.30471538094513,114.89054384829987,-12.8,110.02812378197015,84.11938474812595,10.609582686325307,9.839599720291941,-1.9299965796447247,-0.22499999999999998,0.8710926370246094,0.6799999999999999,0.7293447293447294,0.4757834757834758,0.8888888888888888,1.1289073629753905,1.32,1.1289073629753905,0.6628524480912785,0.4069705866374178,0.7822222222222223,0.3968637598848368,25.9087390338442,25.9087390338442,0.0,0.0,0.0,0.0,0.0,25.547247202759934,12.04955044240789,73.77304964539007,0.0,25.547247202759934,8
84,Indiana Hoosiers,2016,35,119.1707522192824,93.38742343572126,67.9980093098342,0.36907588229139665,0.7114986382241727,-0.007694679092606933,0.3485997330030142,0.40758163319466745,12.685714285714285,13.741501835646188,0.10592258828772573,16.88502892152312,103.63233857873072,125.19150656682528,-4.6,119.1707522192824,93.38742343572126,6.423184232034478,10.92778499729074,-1.1379816421168272,-0.17069724631752406,0.9779930171607379,0.885,0.7122507122507122,0.4444444444444444,0.8091168091168092,1.0220069828392622,1.115,1.0220069828392622,0.5860200369049184,0.34416500350383605,0.6014434947768281,0.494773360317483,25.783328783561146,25.783328783561146,0.0,0.0,0.0,0.0,0.0,25.42183695247688,14.736020379592253,99.9978018757327,0.0,25.42183695247688,9
201,Oklahoma Sooners,2016,36,114.44121756346577,89.5095088521675,70.07675122135863,0.30919131104440467,0.6910082050135524,-0.0077467005195024545,0.33441478674554537,0.41126982827714514,8.055555555555555,10.528171885469147,0.1094813357118171,15.143021861937303,101.46808764986145,116.0933662899788,-4.5,114.44121756346577,89.5095088521675,11.659587368379732,9.43776600368347,-2.128644510973137,-0.22499999999999998,0.9575686754461121,0.8875,0.09971509971509972,0.5498575498575499,0.603988603988604,1.0424313245538879,1.1125,1.0424313245538879,0.08368239307174935,0.4343031783696983,0.4479582146248813,0.7025313766856855,24.93170871129827,24.93170871129827,0.0,0.0,0.0,0.0,0.0,24.570216880214005,17.193768689624594,75.13475177304964,0.0,24.570216880214005,10
